ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
amer1254,Latin American Spanish,,,,amer1254,,1,dialect,Indo-European,dialects
boli1265,Bolivian Spanish,,,,boli1265,,1,dialect,Indo-European,dialects
chim1313,Chimané,,-15.214,-66.6431,chim1313,,10,dialect,Mosetén-Chimané,dialects
paic1240,Paiconeca,,-15.0,-60.5,paic1240,,23,dialect,Arawakan,dialects
arao1248,Araona,,-12.4242,-67.7293,arao1248,,2,language,Pano-Tacanan,languages
ayor1240,Ayoreo,,-19.220055,-60.217495,ayor1240,,4,language,Zamucoan,languages
baur1253,Baure,,-13.61,-63.68,baur1253,,5 23,language,Arawakan,languages
cani1243,Canichana,,-14.3058,-64.944455,cani1243,,6 15,language,,languages
cavi1250,Cavineña,,-13.3544,-66.6277,cavi1250,,7,language,Pano-Tacanan,languages
cayu1262,Cayubaba,,-13.2482,-65.4822,cayu1262,,8,language,,languages
chac1251,Chácobo,,-12.133,-66.7164,chac1251,,9,language,Pano-Tacanan,languages
east2555,Eastern Bolivian Guaraní,,-20.42,-63.37,east2555,,13,language,Tupian,languages
esee1248,Ese Ejja,,-11.7268,-67.515,esee1248,,12,language,Pano-Tacanan,languages
guar1292,Guarayu,,-15.8247,-61.6934,guar1292,,14,language,Tupian,languages
iton1250,Itonama,,-12.80431,-64.35748,iton1250,,29,language,,languages
leco1242,Leco,,-15.0092,-67.8818,leco1242,,16,language,,languages
mach1268,Machinere,,-10.661655,-70.208108,mach1268,,17,language,Arawakan,languages
mose1249,Mosetén-Chimané,,-14.64448,-67.83756,mose1249,,10 19,language,,languages
movi1243,Movima,,-13.8115,-65.6348,movi1243,,20,language,,languages
paca1246,Pacahuara,,-11.9968,-65.5568,paca1246,,22,language,Pano-Tacanan,languages
reye1240,Reyesano,,-14.8333,-67.0833,reye1240,,25,language,Pano-Tacanan,languages
siri1273,Sirionó,,-15.5298,-63.9688,siri1273,,26,language,Tupian,languages
sout2991,South Bolivian Quechua,,-20.9201,-66.3331,sout2991,,24,language,Quechuan,languages
stan1288,Spanish,,40.4414,-1.11788,stan1288,,1,language,Indo-European,languages
taca1256,Tacana,,-13.39249,-68.04056,taca1256,,27,language,Pano-Tacanan,languages
tapi1253,Tapieté,,-21.4169,-62.684,tapi1253,,28,language,Tupian,languages
uruu1244,Uru,,-16.72547,-68.97119,uruu1244,,30,language,Uru-Chipaya,languages
wich1262,Weenhayek,,-21.988,-63.5971,wich1262,,31,language,Mataguayan,languages
yami1256,Yaminahua,,-9.8846,-71.5964,yami1256,,32,language,Pano-Tacanan,languages
yuqu1240,Yuqui,,-16.7875,-64.9438,yuqu1240,,33,language,Tupian,languages
yura1255,Yuracaré,,-16.7479,-65.1224,yura1255,,34,language,,languages
araw1281,Arawakan,,,,araw1281,,5 17 21 23,family,,families
chap1271,Chapacuran,,,,chap1271,,18,family,,families
chiq1253,Chiquitano,,,,chiq1253,,11,family,,families
indo1319,Indo-European,,,,indo1319,,1,family,,families
mata1289,Mataguayan,,,,mata1289,,31,family,,families
pano1259,Pano-Tacanan,,,,pano1259,,2 7 9 12 22 25 27 32,family,,families
quec1387,Quechuan,,,,quec1387,,24,family,,families
tupi1275,Tupian,,,,tupi1275,,13 14 26 28 33,family,,families
uruc1242,Uru-Chipaya,,,,uruc1242,,30,family,,families
zamu1243,Zamucoan,,,,zamu1243,,4,family,,families
